SEL;CODBARRA;DESCRICAO;VRCUSTO;CUSTO_REPOSICAO;VRVENDA;ATIVO;ATIVO_COMPRA;ATACAREJO;COMISSAO;FORNECEDOR;CODDPTO;DEPARTAMENTO;GRUPO;SUBGRUPO;SECAO;UNIDADE;MARKUP;CODFOR;ALIQUOTA;BALANCA;PROMOCAO;VRPROMO;VRCLUBEFIDELIDADE;PIS;TIPOPIS;FATORKG;FATORCX;CODBALANCA;DESCMAX;ESPECIFICACAO;COMPOSICAO;CODIGO;COD_GRUPO;COD_SUBGRUPO;CEST;DATA_ALTERACAO;CUSTO_TOTAL;DATA_ALTERACAO_PRECO;NCM;COMECO_DESCRICAO;IDEMPRESA;DATA_CADASTRO;MARGEM_CALCULADA;GRUPO_PRECO;IDPISCOFINS;DESPIS;IMPRIMIRCOMP;COD_GRUPOPRECO;ATACADO;VRDESCPRECO2_MP;VRDESCPRECO2_PRO;TPDESCPRECO2;QTDE_ESTOQUE;QTDE_DEPOSITO;QTDE_TOTAL;PRODUTO_PAI;DESCRICAO_RESUMIDA;DESCRICAO_WEB;DESCRICAO_BALANCA;QUANTIDADE;ALTERA_DESCRICAO_COTACAO;PERDA;IDMARCA;MARCA;ETQ_IMPRESSA;VASILHAME;COD_FIGURA_FISCAL;FIGURA_FISCAL;POSSUI_RECEITA;FATOR_FILHO;QTDE_ETIQUETAS;VLRPROMOCAO;REALIZA_TROCA;COTACAO;EST_MINIMO;EST_MAXIMO;EST_ATUAL_X_MINIMO;EST_ATUAL_X_MAXIMO;UNIDADE_APRESENTACAO;CONTEUDO_EMBALAGEM;APRESENTACAO_ETIQUETA;VLR_APRESENTACAO;CODOPERADOR;TIPO_PRODUTO;ABC;PERC_ABC;DATA_ABC
T;"7,90E+12";AGUA SANITARIA YPE 5LT;"9,21";"11,41";"17,6";S;S;;;QU仡ICA AMPARO LTDA.;1;DEPARTAMENTO PADRAO;BALANﾇO LJ 02 2020;SUB GRUPO PADRAO;;UN;10;60144;STB;N;N;0;;S;N;1;4;1;;;N;806930;6164;0;1100100;09/03/2024;"10,19";05/04/2024;28289011;A;2;04/03/2015;"35,17";;13;TRIBUTADOS;N;;N;;0;D;10;0;10;;AGUA SANITARIA YPE 5LT;AGUA SANITARIA YPE 5LT;AGUA SANITARIA YPE 5LT;;;N;;;N;N;6;SUBSTITUICAO;N;;;0;S;N;0;0;MAIOR;MAIOR;;1;1;"17,6";87;;;;
T;"7,90E+12";AGUARDENTE CANINHA 61 970ML;"4,45";"4,45";"10,9";S;S;;;COMERCIAL BIRIBA LTDA.;5;AGROPECUARIA;BALANﾇO LJ 02 2020;AGUARDENTE;;UN;0;10130;STB;N;N;"2,99";;S;;1;1;1;;;N;162326;6164;235;200400;06/05/2024;"4,04";06/05/2024;22084000;A;2;;"59,17";;13;TRIBUTADOS;N;;N;;0;D;60;0;60;;AGUARDENTE CANINHA 61 970ML;AGUARDENTE CANINHA 61 970ML;AGUARDENTE CANINHA 61 970ML;;;N;;;N;N;6;SUBSTITUICAO;N;;;"2,99";S;N;0;0;MAIOR;MAIOR;;1;1;"10,9";;;;;
T;"7,90E+12";AGUARDENTE CANINHA COROTE 500ML;"2,46";"2,46";"4,25";S;S;;;FLORIVALDO MARTINS S/A;9;PET SHOP;BALANﾇO LJ 02 2020;AGUARDENTE;;UN;"-96,5";10165;STB;N;N;0;;S;;1;12;1;;;N;178198;6164;235;200400;09/04/2024;"2,23";05/04/2024;22084000;A;2;;"42,12";;13;TRIBUTADOS;N;;N;;0;D;84;0;84;;AGUARDENTE CANINHA COROTE 500ML;AGUARDENTE CANINHA COROTE 500ML;AGUARDENTE CANINHA COROTE 500ML;;;N;;;N;N;6;SUBSTITUICAO;N;;;0;S;N;0;0;MAIOR;MAIOR;;1;1;"4,25";;;;;
T;"7,90E+12";AGUARDENTE PIRASSUNUNGA 51 BR 965ML;"5,75";"5,75";11;S;S;;;SERRA DOURADA D.T.B.LTDA;9;PET SHOP;BALANﾇO LJ 02 2020;AGUARDENTE;;UN;12;59758;STB;N;N;0;;S;;1;12;1;;;N;357166;6164;235;200400;26/12/2023;"5,22";05/04/2024;22084000;A;2;;"47,73";;13;TRIBUTADOS;N;;N;;;;48;0;48;;AGUARDENTE PIRASSUNUNGA 51 BR 965ML;AGUARDENTE PIRASSUNUNGA 51 BR 965ML;AGUARDENTE PIRASSUNUNGA 51 BR 965ML;;;N;;;N;N;6;SUBSTITUICAO;N;;;0;S;N;0;0;MAIOR;MAIOR;;1;1;11;;;;;
T;"7,90E+12";AMACIANTE ROUPAS TUFF AZUL START 5LT;"12,2";"12,95";"16,99";S;S;;;LIMA E PERGHER IND.COM. S/A;1;DEPARTAMENTO PADRAO;BALANﾇO LJ 02 2020;SUB GRUPO PADRAO;;UN;12;10933;STB;N;N;"8,99";;S;N;1;4;1;;;N;800706;6164;0;1100800;12/03/2024;"11,84";05/04/2024;38099190;A;2;03/06/2014;"23,78";;13;TRIBUTADOS;N;;N;;0;D;2;0;2;;AMACIANTE ROUPAS TUFF AZUL START 5LT;AMACIANTE ROUPAS TUFF AZUL START 5LT;AMACIANTE ROUPAS TUFF AZUL START 5LT;;;N;;;N;N;6;SUBSTITUICAO;N;;;"8,99";S;N;0;0;MAIOR;MAIOR;;1;1;"16,99";87;;;;
T;"7,90E+12";AMACIANTE YPE ACONCHEGO AZUL 2L GTS 400ML;"7,99";"8,83";"8,99";S;S;N;;QU仡ICA AMPARO LTDA.;0;SUB GRUPO PADRAO;BALANﾇO LJ 02 2020;SUB GRUPO PADRAO;;UN;0;60144;STB;N;N;0;;S;N;1;6;1;;;N;887914;6164;0;1100800;09/03/2024;0;05/04/2024;38099190;A;2;08/01/2022;"1,78";;13;TRIBUTADOS;N;;N;;0;D;15;0;15;;AMACIANTE YPE ACONCHEGO AZUL 2L GTS 400ML;AMACIANTE YPE ACONCHEGO AZUL 2L GTS 400ML;AMACIANTE YPE ACONCHEGO AZUL 2L GTS 400ML;;N;N;;;N;N;6;SUBSTITUICAO;N;1;;0;S;N;0;0;MAIOR;MAIOR;;1;1;"8,99";867;;;;
T;"7,90E+12";AMACIANTE YPE ACONCHEGO AZUL 5L;"13,26";"15,54";26;S;S;;;QU仡ICA AMPARO LTDA.;0;SUB GRUPO PADRAO;BALANﾇO LJ 02 2020;SUB GRUPO PADRAO;;UN;10;60144;STB;N;N;0;;S;N;1;4;1;;;N;293716;6164;0;1100800;09/03/2024;"13,9";24/02/2024;38099190;A;2;;"40,23";;13;TRIBUTADOS;N;;N;;0;D;8;0;8;;AMACIANTE YPE ACONCHEGO AZUL 5L;AMACIANTE YPE ACONCHEGO AZUL 5L;AMACIANTE YPE ACONCHEGO AZUL 5L;;;N;;;N;N;6;SUBSTITUICAO;N;;;0;S;N;0;0;MAIOR;MAIOR;;1;1;26;;;;;
T;"7,90E+12";AMACIANTE YPE INTENSO LEVE 2L PAGUE 1.6L;"6,47";"7,31";"8,99";S;S;N;;QU仡ICA AMPARO LTDA.;1;DEPARTAMENTO PADRAO;BALANﾇO LJ 02 2020;SUB GRUPO PADRAO;;UN;0;60144;STB;N;N;0;;S;N;1;6;1;;;N;891242;6164;0;1100800;09/03/2024;0;05/04/2024;38099190;A;2;11/04/2022;"18,69";;13;TRIBUTADOS;N;;N;;0;D;21;0;21;;AMACIANTE YPE INTENSO LEVE 2L PAGUE 1.6L;AMACIANTE YPE INTENSO LEVE 2L PAGUE 1.6L;AMACIANTE YPE INTENSO LEVE 2L PAGUE 1.6L;;N;N;;;N;N;6;SUBSTITUICAO;N;1;;0;S;N;0;0;MAIOR;MAIOR;;1;1;"8,99";1105;N;;;
T;90;APRESUNTADO SADIA KG;"16,27";"17,41";"25,9";S;S;;;BRF S.A.;1;DEPARTAMENTO PADRAO;GRUPO PADRAO;SUB GRUPO PADRAO;;KG;11;11588;STB;S;N;0;;S;N;1;7;2;;;N;901;2;0;1707905;15/04/2024;"15,79";05/04/2024;16024900;A;2;;"32,78";;13;TRIBUTADOS;N;;N;;0;D;"10,645";0;"10,645";;APRESUNTADO SADIA KG;APRESUNTADO SADIA KG;APRESUNTADO SADIA KG;;;N;;;N;N;6;SUBSTITUICAO;N;;;0;S;N;0;0;MAIOR;MAIOR;;1;1;"25,9";;;;;
T;844308;"ARAME BELGO ATC OVAL FORTTE 2,70 X 2,20 1.000 MT";"266,18";"315,37";570;S;S;N;;BELGO BEKAERT ARAMES LTDA.;5;AGROPECUARIA;;;;UN;30;11558;STB;N;N;;;S;N;1;1;1;;;N;844308;;;1004500;19/10/2023;"290,88";05/04/2024;72172010;A;2;27/08/2019;"44,67";;13;TRIBUTADOS;N;;N;;;;14;0;14;;"ARAME BELGO ATC OVAL FORTTE 2,70 X 2,20 1.000 MT";"ARAME BELGO ATC OVAL FORTTE 2,70 X 2,20 1.000 MT";"ARAME BELGO ATC OVAL FORTTE 2,70 X 2,20 1.000 MT";;N;N;;;N;N;6;SUBSTITUICAO;N;1;;;S;N;0;0;MAIOR;MAIOR;;1;1;570;41;;;;
T;106092;ARAME LISO BELGO OVALADO Z-700 1000MT;"343,7";"394,9";595;S;S;;;BELGO BEKAERT ARAMES LTDA.;5;AGROPECUARIA;BALANﾇO LJ 02 2020;PEG PAGUE;;UN;30;11558;STB;N;N;0;;S;N;1;1;1;;;N;106092;6164;3679;1004500;29/02/2024;"358,18";05/04/2024;72172090;A;2;;"33,63";;13;TRIBUTADOS;N;;N;;;;65;0;65;;ARAME LISO BELGO OVALADO Z-700 1000MT;ARAME LISO BELGO OVALADO Z-700 1000MT;ARAME LISO BELGO OVALADO Z-700 1000MT;;;N;;;N;N;6;SUBSTITUICAO;N;;;0;S;N;0;0;MAIOR;MAIOR;;1;1;595;;;;;
T;"7,90E+12";ARROZ COCAL MIRI 5KG;"24,8";"24,8";"37,9";S;S;;;COCAL CEREAIS LTDA.;4879;PRODUTOS ALIMENTICIOS;CESTA BASICA;ARROZ;;UN;20;10168;T03;N;N;0;;S;;1;6;1;;;N;55185;4882;225;;13/05/2024;"23,06";13/05/2024;10063021;A;2;;"34,56";;12;ALIQUOTA ZERO;N;;N;;0;D;18;0;18;;ARROZ COCAL MIRI 5KG;ARROZ COCAL MIRI 5KG;ARROZ COCAL MIRI 5KG;;;N;;;N;N;7;TRIBUTADO 7%;N;;;0;S;N;0;0;MAIOR;MAIOR;;1;1;"37,9";;;;;
T;"7,89E+12";ARROZ PRIMUS T1 5KG;"17,33";"17,33";31;S;S;N;;ANTONIO DE PADUA ALVES E CIA LTDA;4879;PRODUTOS ALIMENTICIOS;CESTA BASICA;ARROZ;;UN;15;10798;T03;N;N;0;;S;N;1;6;1;;;N;876530;4882;225;;08/05/2024;"17,33";08/05/2024;10063021;A;2;04/06/2021;"44,1";;12;ALIQUOTA ZERO;N;;N;;0;D;30;0;30;;ARROZ PRIMUS T1 5KG;ARROZ PRIMUS T1 5KG;ARROZ PRIMUS T1 5KG;;N;N;;;N;N;7;TRIBUTADO 7%;N;1;;0;S;N;0;0;MAIOR;MAIOR;;1;1;31;1128;;;;
T;"7,90E+12";ARROZ TRIVIAL T2 5KG;"17,33";"17,33";"30,9";S;S;;;PILECCO NOBRE ALIMENTOS LTDA;4879;PRODUTOS ALIMENTICIOS;CESTA BASICA;ARROZ;;UN;15;11047;T03;N;N;0;;S;N;1;6;1;;;N;369794;4882;225;;13/05/2024;"16,12";13/05/2024;10063029;A;2;;"43,92";;12;ALIQUOTA ZERO;N;;N;;0;D;78;0;78;;ARROZ TRIVIAL T2 5KG;ARROZ TRIVIAL T2 5KG;ARROZ TRIVIAL T2 5KG;;;N;;;N;N;7;TRIBUTADO 7%;N;;;0;S;N;0;0;MAIOR;MAIOR;;1;1;"30,9";;;;;
T;140;BACON SEARA DEFUMADO MANTA KG;"19,98";"19,98";32;S;S;;;SEARA COMERCIO DE ALIMENTOS LT;18;ACOUGUE;EMBUTIDOS;BACON;;KG;"10,5";48306;STB;S;N;0;;S;;1;12;1;;;N;1403;2335;439;1708700;10/05/2024;"18,13";05/04/2024;2101200;B;2;;"37,56";;13;TRIBUTADOS;N;;N;;;;"1,792";0;"1,792";;BACON SEARA DEFUMADO MANTA KG;BACON SEARA DEFUMADO MANTA KG;BACON SEARA DEFUMADO MANTA KG;;;N;;;N;N;6;SUBSTITUICAO;N;;;0;S;N;0;0;MAIOR;MAIOR;;1;1;32;;;;;
T;"7,90E+12";BALA CHITA ORIGINAL ABACAXI 500G;"5,78";"5,78";"7,9";S;S;N;;STA ATACADISTA DE ALIMENTOS LTDA;4879;PRODUTOS ALIMENTICIOS;BALANﾇO LJ 02 2020;BALAS E CHOCOLATES;;UN;0;53652;T01;N;N;0;;S;N;1;1;1;;;N;893660;6164;178;;05/03/2024;0;19/10/2022;17049020;B;2;07/07/2022;"26,84";;13;TRIBUTADOS;N;;N;;0;D;24;0;24;;BALA CHITA ORIGINAL ABACAXI 500G;BALA CHITA ORIGINAL ABACAXI 500G;BALA CHITA ORIGINAL ABACAXI 500G;;N;N;;;N;N;18;TRIBUTADO 18%;N;1;;0;S;N;0;0;MAIOR;MAIOR;UN;1;1;"7,9";643;N;;;
T;"7,90E+12";BALA CHITA SORTIDA  500G;"5,78";"5,78";"7,99";S;S;N;;EPOCA COM.DIST.ALIM.INDUST.LTDA;4879;PRODUTOS ALIMENTICIOS;BALANﾇO LJ 02 2020;BALAS E CHOCOLATES;;UN;0;10928;T01;N;N;0;;S;N;1;1;1;;;N;893661;6164;178;;12/03/2024;0;05/04/2024;17049020;B;2;07/07/2022;"27,66";;13;TRIBUTADOS;N;;N;;0;D;26;0;26;;BALA CHITA SORTIDA  500G;BALA CHITA SORTIDA  500G;BALA CHITA SORTIDA  500G;;N;N;;;N;N;18;TRIBUTADO 18%;N;1;;0;S;N;0;0;MAIOR;MAIOR;;1;1;"7,99";643;N;;;
T;"7,90E+12";BALDE RAINHA C/ ALCA DECORACAO FLOR PRETO 8L REF.5250;15;15;"7,7";S;S;N;;RAINHA IND.COM.PLAST.LTDA;1;DEPARTAMENTO PADRAO;GRUPO PADRAO;SUB GRUPO PADRAO;;UN;0;11314;T01;N;;0;;S;N;1;1;1;;;N;894811;2;0;;11/03/2024;0;05/04/2024;39249000;B;2;18/08/2022;"-94,81";;13;TRIBUTADOS;N;;N;;0;D;12;0;12;;BALDE RAINHA C/ ALCA DECORACAO FLOR PRETO 8L REF.5250;BALDE RAINHA C/ ALCA DECORACAO FLOR PRETO 8L REF.5250;BALDE RAINHA C/ ALCA DECORACAO FLOR PRETO 8L REF.5250;;N;N;;;N;N;18;TRIBUTADO 18%;N;1;;0;S;N;0;0;MAIOR;MAIOR;;1;1;"7,7";2666;N;;;
T;795671;BANDEJA COPOBRAS CFL-003 235X180X33 MM UN;"0,08";"0,09";"0,29";S;S;;;COPOBRAS S/A IND. E COM. DE EMBALAGENS;1;DEPARTAMENTO PADRAO;BALANﾇO LJ 02 2020;SUB GRUPO PADRAO;;UN;15;10896;T01;N;N;;;S;N;;400;1;;;N;795671;6164;4;;13/09/2022;"0,08";05/04/2024;39231090;B;2;05/11/2013;"68,97";;13;TRIBUTADOS;N;;N;;;;300;0;300;;BANDEJA COPOBRAS CFL-003 235X180X33 MM UN;BANDEJA COPOBRAS CFL-003 235X180X33 MM UN;BANDEJA COPOBRAS CFL-003 235X180X33 MM UN;;;N;;;N;N;18;TRIBUTADO 18%;N;;;;S;N;0;0;MAIOR;MAIOR;;1;1;"0,29";443;;;;
T;455343;BANDEJA COPOBRAS CRL-001 150X150X18 MM UN;"0,05";"0,04";"0,2";S;S;;;COPOBRAS S/A IND. E COM. DE EMBALAGENS;1;DEPARTAMENTO PADRAO;BALANﾇO LJ 02 2020;SUB GRUPO PADRAO;;UN;15;10896;T01;N;N;0;;S;;;400;1;;;N;455343;6164;0;;19/01/2024;"0,04";27/12/2013;39239090;B;2;;80;;13;TRIBUTADOS;N;;N;;;;1200;0;1200;;BANDEJA COPOBRAS CRL-001 150X150X18 MM UN;BANDEJA COPOBRAS CRL-001 150X150X18 MM UN;BANDEJA COPOBRAS CRL-001 150X150X18 MM UN;;;N;;;N;N;18;TRIBUTADO 18%;N;;;0;S;N;0;0;MAIOR;MAIOR;;1;1;"0,2";;;;;
T;795667;BANDEJA COPOBRAS CRL-002 210X140X18 MM UN;"0,06";"0,07";"0,25";S;S;;;COPOBRAS S/A IND. E COM. DE EMBALAGENS;1;DEPARTAMENTO PADRAO;BALANﾇO LJ 02 2020;SUB GRUPO PADRAO;;UN;15;10896;T01;N;N;;;S;N;;400;1;;;N;795667;6164;4;;15/01/2024;"0,06";27/12/2013;39239090;B;2;05/11/2013;72;;13;TRIBUTADOS;N;;N;;;;1200;0;1200;;BANDEJA COPOBRAS CRL-002 210X140X18 MM UN;BANDEJA COPOBRAS CRL-002 210X140X18 MM UN;BANDEJA COPOBRAS CRL-002 210X140X18 MM UN;;;N;;;N;N;18;TRIBUTADO 18%;N;;;;S;N;0;0;MAIOR;MAIOR;;1;1;"0,25";443;;;;
T;829165;BANDEJA ISOPOR COPOBRAS 210X140X18 MM PCT 100UN;"0,06";"0,07";20;S;S;;;COPOBRAS S/A IND. E COM. DE EMBALAGENS;3677;PEG PAGUE;PEG PAGUE;PEG PAGUE;;UN;0;10896;T01;N;N;0;;S;N;;400;1;;;S;829165;3678;3679;;06/07/2020;"0,05";08/08/2017;39239000;B;2;08/08/2017;"99,65";;13;TRIBUTADOS;S;;N;;;;1100;0;1100;;BANDEJA ISOPOR COPOBRAS 210X140X18 MM PCT 100UN;BANDEJA ISOPOR COPOBRAS 210X140X18 MM PCT 100UN;BANDEJA ISOPOR COPOBRAS 210X140X18 MM PCT 100UN;;;N;;;N;N;18;TRIBUTADO 18%;N;;;0;S;N;0;0;MAIOR;MAIOR;;1;1;20;443;;;;
T;"7,90E+12";BEBIDA LACTEA QUACK COCO 150G;"0,72";"0,74";"1,25";S;S;;;COOPERATIVA MISTA AGROPECUARIA;1;DEPARTAMENTO PADRAO;BALANﾇO LJ 02 2020;SUB GRUPO PADRAO;;UN;0;10446;STB;N;N;"0,39";;S;N;1;1;1;;;N;419321;6164;0;1711500;06/05/2024;"0,74";05/04/2024;22029900;B;2;;"40,8";BEBIDA LACTEA QUACK 150G;12;ALIQUOTA ZERO;N;3239;N;;0;D;30;0;30;;BEBIDA LACTEA QUACK COCO 150G;BEBIDA LACTEA QUACK COCO 150G;BEBIDA LACTEA QUACK COCO 150G;;;N;;;N;N;6;SUBSTITUICAO;N;;;"0,39";S;N;0;0;MAIOR;MAIOR;;1;1;"1,25";;;;;
